,text,full_form,tox_score,real_form
0,69,69,2,fuck
1,@55,ass,1,fuck
2,@ssfcker,fuck,25,
3,0ral seks,sex,25,fuck
4,0ral sex,sex,28,fuck
5,0rg@sm,orgasm,1,fuck
6,0rgasms,orgasm,13,fuck
7,3jakulating,ejaculation,24,fuck
8,4r5e,arse,2,fuck
9,4r5ed,arse,7,fuck
10,4r5es,arse,4,fuck
11,4skin,foreskin,3,fuck
12,5h17,shit,1,
13,5h1t,shit,17,
14,5kank,skank,11,fuck
15,a_s_s,ass,28,fuck
16,abbie,abraham,1,fuck
17,abeed,abeed,1,fuck
18,aboe,abo,1,fuck
19,anal,anal,28,fuck
20,analingus,anal,20,fuck
21,analplug,anal,29,fuck
22,analplugs,anal,47,fuck
23,anilingus,anal,5,fuck
24,anus,anus,22,fuck
25,anus plug,anus,49,fuck
26,apeshit,ape,30,fuck
27,apeshite,ape,17,fuck
28,ar5e,arse,1,fuck
29,ar5ehole,arse,13,fuck
30,arse,arse,26,fuck
31,arse-bandit,arse,31,fuck
32,arse-bandits,arse,32,fuck
33,arse-shagger,arse,34,fuck
34,arsewipe,arse,22,fuck
35,ass,ass,32,fuck
36,asses,ass,25,fuck
37,assface,ass,27,fuck
38,assfk,ass,15,fuck
39,assfkr,ass,23,fuck
40,assfukah,fuck,24,
41,assmunch,ass,28,fuck
42,assmuncher,ass,26,fuck
43,axe wound,wound,4,fuck
44,azz,ass,15,fuck
45,b to the inch,bitch,4,
46,b00bz,boobs,7,fuck
47,b0llock,bollocks,17,fuck
48,b0llocks,bollocks,23,fuck
49,b1+ch,bitch,23,
50,b17ch,bitch,16,
51,b1otchs,bitch,34,
52,b1tch35,bitch,31,
53,b1tchez,bitch,34,
54,b1tching,bitch,35,
55,baby batter,baby batter,10,fuck
56,ballbag,bollocks,18,fuck
57,bangbros,bang,7,fuck
58,bastid,bastard,10,
59,bastinado,bastard,5,
60,bater,masturbate,3,fuck
61,bates,masturbate,2,fuck
62,batshite,shit,27,
63,bbc,cock,1,fuck
64,bean queen,bean queen,2,fuck
65,beaner,beaner,8,fuck
66,beaners,beaner,5,fuck
67,beat my meat,meat,17,fuck
68,beat off,beat off,28,fuck
69,beat the meat,meat,12,fuck
70,beat your meat,meat,21,fuck
71,bell end,bellend,2,
72,bender,bender,6,fuck
73,bewbs,boobs,6,fuck
74,beyoch,bitch,1,
75,beyotch,bitch,11,
76,bi + ch,bitch,12,
77,biotchez,bitch,22,
78,bishes,bitch,15,
79,bitchin',bitch,39,
80,bizzach,bitch,2,
81,BJ,blowjob,1,
82,blacky,blacky,14,fuck
83,blow a load,blow a load,16,fuck
84,blumpkin boy,blumpkin,19,fuck
85,boll0ck,bollocks,49,fuck
86,bollock,bollocks,20,fuck
87,bollockchops,bollocks,12,fuck
88,bollocks,bollocks,28,fuck
89,bollocktician,bollocks,14,fuck
90,bollox,bollocks,4,fuck
91,bondage,bondage,5,fuck
92,boner,boner,21,fuck
93,bonk juice,bonk,4,fuck
94,boobs,boobs,19,fuck
95,booty,booty,14,fuck
96,breasticles,breast,19,fuck
97,breasts,breast,19,fuck
98,bugger,bugger,21,fuck
99,bugger off,bugger,25,fuck
100,bullshi,shit,31,
101,bum-bandits,bum,23,fuck
102,bum-driller,bum,13,fuck
103,bumhole,bum,23,fuck
104,bung hole,bung,20,fuck
105,butt pirate,butt,27,fuck
106,butt-munchers,butt,27,fuck
107,buttermilk,buttermilk,2,fuck
108,bwc,cock,1,fuck
109,c*nt,cunt,30,
110,c*nts,cunt,31,
111,c*nty,cunt,27,
112,c00n,coon,17,fuck
113,c00nies,coon,21,fuck
114,c0ck,cock,30,fuck
115,c0cks,cock,29,fuck
116,c0cksuccer,cock,46,fuck
117,c0x,cock,2,fuck
118,c0xux0r,cock,10,fuck
119,caaak,cock,2,fuck
120,caca,shit,20,
121,cack,cock,20,fuck
122,cagone,cojones,38,fuck
123,cajones,cojones,2,fuck
124,Camel jockey,camel jockey,19,fuck
125,cameltoe,cameltoe,6,fuck
126,carpet muncher,carpet muncher,4,fuck
127,carpetmuncher,carpet muncher,4,fuck
128,carpetmunchers,carpet muncher,4,fuck
129,carpetmunching,carpet muncher,4,fuck
130,cawk,cock,4,fuck
131,cawk muncher,cock,8,fuck
132,cawkmuncher,cock,9,fuck
133,cawks,cock,4,fuck
134,cawksucker,cock,33,fuck
135,ch1nk,chink,15,fuck
136,chesticles,testicles,1,fuck
137,china-virus,china virus,25,fuck
138,chinavirus,china virus,17,fuck
139,chinese-virus,china virus,23,fuck
140,chingchong,chingchong,5,fuck
141,chink,chink,26,fuck
142,chinky,chink,15,fuck
143,choad nectar,choad,5,fuck
144,chocha,chocha,6,fuck
145,choke the chicken,choke the chicken,31,fuck
146,cholo,cholo,1,fuck
147,clitlickers,clit,25,fuck
148,cobb knobbler,knob,2,fuck
149,cock,cock,29,fuck
150,cock droplets,cock,48,fuck
151,cock rider,cock,30,fuck
152,cockboy,cock,34,fuck
153,cockeater,cock,21,fuck
154,cockgobbler,cock,30,fuck
155,cockhed,cock,23,fuck
156,cockless,cock,27,fuck
157,cocks,cock,30,fuck
158,cockskin,cock,29,fuck
159,cocksucc,cock,28,fuck
160,cocksuccas,cock,28,fuck
161,cocksuccers,cock,48,fuck
162,cokmuncher,cock,6,fuck
163,coksucka,cock,26,fuck
164,coolie,coolie,1,fuck
165,coon,coon,20,fuck
166,coon1es,coon,12,fuck
167,cooni3s,coon,6,fuck
168,coonie,coon,11,fuck
169,coonies,coon,13,fuck
170,coons,coon,20,fuck
171,coot,coot,4,fuck
172,coot coot,coot,3,fuck
173,cooter,coot,5,fuck
174,cooter shooting,coot,19,fuck
175,cooterpuffing,coot,4,fuck
176,cooties,cooties,5,fuck
177,cotton picker,cotton picker,5,fuck
178,crazy mofos,motherfucker,36,
179,crazy sob,bitch,23,
180,creampie,creampie,19,fuck
181,crotch,crotch,14,fuck
182,crotch fiddler,crotch,13,fuck
183,crotchy,crotch,12,fuck
184,crow,crow,1,fuck
185,crows,crow,2,fuck
186,cuksuker,cock,13,fuck
187,cuksukka,cock,8,fuck
188,cumball,cum,23,fuck
189,cumdumpster,cum,26,fuck
190,cumming,cum,21,fuck
191,cums,cum,20,fuck
192,cumz,cum,19,fuck
193,cunnilingus,cunnilingus,24,fuck
194,cuntasaurus rex,cunt,25,
195,cuntelope,cunt,18,
196,cuntless,cunt,22,
197,cuntness,cunt,28,
198,cunty,cunt,27,
199,cuntz,cunt,22,
200,cyberfck,fuck,27,
201,cyberfcks,fuck,28,
202,cyberfuccs,fuck,26,
203,cyberfucs,fuck,22,
204,cyberfukk,fuck,49,
205,d!ld0,dildo,2,fuck
206,d!ldo,dildo,4,fuck
207,d0ggy style,doggy style,6,fuck
208,d1cks,dick,35,fuck
209,d1ckz,dick,29,fuck
210,d1ldo,dildo,16,fuck
211,dafuq,fuck,25,
212,dago,dago,1,fuck
213,darkass,ass,36,fuck
214,darkie,darky,2,fuck
215,darktard,retard,28,
216,darky,darky,6,fuck
217,dick breath,dick,31,fuck
